한글명,영문명,등급,효과별,분류,성분설명,연관성분,참고논문
니코틴아마이드아데닌다이뉴클레오타이드,Nicotinamide Adenine Dinucleotide,훌륭함,"안티에이징, 수분 공급, 진정","항산화제, 보습제(습윤제)","피부컨디셔닝제
등급이 표시되지 않는 이유는 무엇일까요? 사실 성분 연구는 심층 분석을 필요로 하고 이를 위해서 충분한 시간이 필요합니다. 폴라초이스 연구진은 정확한 정보를 제공하기 위해 노력하고 있으며, 담당 팀에서 현재 내용을 검토중이거나 곧 진행할 예정입니다. 폴라초이스의 성분 데이터베이스는 매일 업데이트되고 있으니 수시로 최신 정보를 확인해주세요.",나이아신아마이드,
님,Azadirachta Indica,훌륭함,안티에이징,"식물추출물, 항산화제",_Azadirachta Indica_(님)의 추출물 형태는 항산화 및 피부 진정 효과가 있으며 피부 표면의 유해한 미생물 개체 수를 줄이는데 도움을 준다. 오일 형태는 피부에 자극을 줄 수 있다.,"님오일, 인도멀구슬나무씨오일",
님추출물,Neem Extract,훌륭함,,,"인도에서 유래했으며 오랜 역사를 가진 님추출물은 식물의 껍질, 씨앗 또는 잎에서 얻을 수 있다. 식물의 뿌리, 꽃, 열매 형태는 스킨 케어 제품에 거의 쓰이지 않는다. 추출물은 항산화 및 피부 진정 효과가 있으며 피부 표면의 유해 미생물 수를 줄이는 데 도움이 될 수 있다. 님추출물은 중요한 항산화제인 쿼세틴 및 베타-시토스테롤을 함유하며, 님추출물의 다당류는 피부 수분 공급에 기여할 수 있다. 수성(water-based) 추출물로서의 님 줄기는 피부의 외관을 눈에 띄게 복구하고 수분 공급을 개선하는 데 도움을 주는 피부에 유익한 여러 가지 성분을 함유하고 있다.","인도멀구슬나무꽃추출물, 인도멀구슬나무잎추출물","Pharmacognosy Magazine, July 2017, pages S316-S320
Journal of Photochemistry and Photobiology, April 2017, pages 161-170
Evidence-Based Complementary and Alternative Medicine, March 2016, ePublication
Asian Pacific Journal of Tropical Biomedicine, July 2013, pages 505-514"
다발방패버섯추출물,Albatrellus Confluens (Mushroom) Extract*,훌륭함,"진정, 안티에이징","식물추출물, 항산화제","핀란드가 원산지인 식용 버섯으로 노던 트러플(Northern Truffle)로도 불리운다. 민감성을 유발하는 자극 기전을 방해해 피부가 눈에 띄게 차분해지고, 붉은기를 감소시키는 뚜렷한 진정 효과를 준다.
다른 무독성 버섯과 마찬가지로 항산화제의 좋은 공급원이다. 식단의 일부로 섭취했을 때, 가장 건강에 유익한 효과를 나타내는 항산화 성분은 그리폴린 (grifolin)이다.
일반적으로 글라이콜 또는 운반체와 함께 혼합물의 일부로 사용되며 혼합물에서 권장 사용량은 1–3%이다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",영지버섯추출물,"International Journal of Medicinal Mushrooms, Volume 24, Issue 4, 2022, pages 1–13
Molecules, January 2022, pages 1–14
Critical Reviews in Food Science and Nutrition, March 2021, ePublication
International Journal of Cosmetic Science, August 2017, pages 379–385
Frontiers in Physiology, June 2017, ePublication"
다이글리세린,Diglycerin*,훌륭함,수분 공급,"보습제(습윤제), 용제","다이글리세린은 습윤제 성질이 있어 피부 내에 수분 보존력을 향상시키는데 도움을 주기에 건성 혹은 수분 부족 피부에 매우 좋은 성분이다. 보습력을 제외하고도 다이글리세린은 탁월한 용제이자 퍼스널 케어 제품에 흔히 사용되는 폼 제형의 점도를 향상시키는 역할을 한다. 클렌저, 로션, 면도 크림, 샴푸, 화장품 등 다양한 제품에서 이 성분을 찾아볼 수 있다.
두 종류의 글리세린 분자가 합쳐져 생산되는데 이 때 분자량이 높아진다. 이로 인해, 성분의 침투력이 늦춰져 피부에 더 오래 머무르게 함으로써 글리세린보다 장기간 수분감을 유지시키는데 도움을 준다. 화장품 화학자들은 글리세린의 결점을 파악해 다이메티콘과 같은 다른 성분과 결합해서 사용하곤 한다.
Cosmetic Ingredient Review는 아직 다이글리세린의 안전성에 관한 최종 보고를 하지 않았지만, Cosmetic Ingredient Review가 한 글리세린의 평가를 바탕으로 하면 화장품 성분으로써 안전하다고 간주될 수 있다. 2022년 기점으로 다이글리세린은 클렌징 제품에서 최대 28% 그리고 스프레이 타입이 아닌 얼굴 &목 케어 제품에서 최대 5%의 농도로 사용되었다.
다이글리세린은 무색에서 옅은 노란색 사이의 점도 있는 액체형이다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",글리세린,"UL Prospector (supplier info), Accessed July 2023, ePublication
Personal Care Products Council, Accessed July 2023, ePublication
International Journal of Toxicology, 2019, pages 6S-22S"
다이드제인,Daidzein*,훌륭함,안티에이징,"항산화제, 식물추출물","콩에서 자연 발생하는 주요 항산화제인 아이소플라본 중 하나이며, 견과류, 포도 및 양배추와 같은 다른 식품에서도 소량 발견된다. 다이드제인의 사람 피부에 미치는 영향에 대한 연구에 따르면 이 성분은 UVB 광선에 노출되어 발생하는 일련의 산화 및 기타 손상들을 완화하는데 도움을 준다고 한다. 실제로 한 연구에서는 다이드제인이 피부 손상을 71%까지 줄인다고 밝혀졌다. 또한 이 성분은 UV 광선으로 인한 피부의 다층(Multilayer) 손상을 상쇄하는 데 도움을 주므로 좋은 진정 성분으로 간주된다.
이와 같이 소이아이소플라본은 피부의 지지층 보호 효과가 있는 것으로 입증되었으며, 젊고 탄력있는 피부로 유지하는 데 도움을 준다.
다이드제인은 피부에 잘 흡수되는 성분이나 연구에 따르면 자매격 아이소플라본인 제니스테인이 피부에 더 잘 흡수된다고 한다. 또한 연구에 따르면 다이드제인과 제니스테인을 함께 사용할 시, 각 성분의 피부 친화력에 독특한 이점이 더해져 피부에 긍정적인 효과를 주는 것으로 나타났다. 또 다른 연구에서는 사이클로덱스트린으로 알려진 복합당처럼 피부 친화적인 전달 체계에서 제형화 되었을 때, 피부 국소 적용에 더욱 효과적인 것으로 나타났다.
안전하고 자극성이 없는 스킨케어 성분으로 간주되며, 대두추출물에서 자연 발생하는 형태가 아닌 순수한 형태일 때 0.02-0.5%의 농도로 사용된다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","제니스테인, 돌콩추출물, 에쿠올, 소이아이소플라본","Phytotherapy Research, March 2020, pages 435–447
Journal of Drug Delivery Science and Technology, June 2019, pages 63–69
Molecules, December 2017, pages 1–11
Australasian Journal of Dermatology, February 2015, pages e7–e14
International Journal of Pharmaceutics, August 2008, pages 36–44"
다이메티콘,Dimethicone*,훌륭함,수분 공급,"실리콘, 유연제(연화제)","다이메티콘은 실리콘의 일종으로, 전문적으로 비휘발성(Non-volatile)/선형(Linear) 실리콘으로 알려져 있다. 이 성분은 모이스처라이저에 가장 많이 사용되는 연화제 중 하나로, 순하며 효과적인 성분으로 잘 알려져 있다.
다이메티콘은 FDA에 의해 일반의약품에 1-30%의 농도로 함유되었을 때 피부보호제(Skin Protectant)로 인정 받는다. 이 성분은 수분 손실을 방지하는 공기 투과성의 보호막을 형성하여 피부가 수분을 더 잘 유지하게 하는 동시에 땀은 정상적으로 증발(배출)되도록 한다. 다이메티콘은 실크처럼 매끄러우며 산뜻한(번들거리지 않는) 느낌을 주기 때문에 오일프리 모이스처라이저에 특히 인기 있는 성분이다.
또한 다이메티콘은 알루미나와 같은 다른 성분들과 함께 사용되어 자외선 차단제 제형에 함유된 징크옥사이드나 티타늄디옥사이드를 코팅해주어 이러한 활성 성분들이 피부에 고르게 분포되고 피부를 균일하게 보호하도록 한다.
다이메티콘은 천연 실리콘에서 유래하더라도 합성 성분으로 간주된다. 이 성분은 화장품에 사용하기에 안전하다고 인정받은 오랜 이력을 가지고 있다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",실리콘,"FDA Code of Federal Regulations, April 2020, ePublication
International Journal of Toxicology, May 2014, pages 65S-115S
The Journal of Clinical and Aesthetic Dermatology, May 2014, pages 36-44
Dermatologic Therapy, May 2012, pages 229-233
Clinics in Dermatology, May-June 2012, pages 345-348
International Journal of Cosmetic Science, January 2008, pages 19-33
Skin Research and Technology, May 2000, pages 77-80"
다이메틸메톡시크로만올,Dimethylmethoxy Chromanol*,훌륭함,"안티에이징, 피부 톤 개선",항산화제,"다이메틸메톡시크로만올(DMC, Dimethylmethoxy chromanol)은 합성으로 만들어진 강력한 스킨 케어 성분이자 항산화제이다. 다이메틸메톡시크로만올은 의도적으로 비타민 E와 구조적으로 유사하게 만들어졌으며, 비타민 고유의 보호 능력을 향상시킨다. 다이메틸메톡시크로만올은 종종 상표명인 Lipochroman-6로도 불린다.
다이메틸메톡시크로만올의 권장 사용량은 0.01%에서 0.05% 사이의 농도로 적은 양으로도 뛰어난 항산화 능력을 제공한다.
주요 이점은 피부를 보호하고 환경적 요소가 야기하는 노화 작용을 억제하는 것이다. 연구를 통해 다이메틸메톡시크로만올이 불필요한 세포 잔해를 제거하고 오염물질, 자외선 등 외부 공격 요인이 피부에 끼치는 악영향을 완화하는 데 도움이 된다.
이러한 손상을 완화함으로써 다이메틸메톡시크로만올은 잔주름과 주름을 줄이고 피부 본연의 구조를 유지하여 피부를 탄력있고 젊어보이는 피부를 만든다.
또한 외부적 손상으로 인한 다크 스팟과 기미를 완화하여 피부 톤을 고르게 만든다. 다이메틸메톡시크로만올의 항산화 효과로 인해 일부 자외선 차단제 포뮬라에 사용되어 피부에 막을 형성하고 자외선으로 인한 손상을 막는 데 도움을 준다.
옅은 노란색에서 갈색 분말이.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",비타민 E,"International Federation of Societies of Cosmetic Chemists, 2019, pages 165-171
European Journal of Pharmaceutical Sciences, June 2017, pages 52-64
International Journal of Cosmetic Science, June 2013, pages 272-280"
다이오스민,Diosmine,훌륭함,"안티에이징, 진정","항산화제, 식물추출물","다이오스민은 감귤류 과일(citrus fruits)에서 발견되는 플라보노이드이다. 이는 수년 동안 혈관 건강을 위한 보충제 및 의학적 치료제로 사용되어 왔으나, 최근에는 안티에이징 스킨케어 성분으로 인기를 얻고 있다.
플라보노이드 특성 덕분에 다이오스민은 강력한 항산화제로, 잔주름과 주름을 포함한 조기 노화 신호를 막는 데 도움이 되는 능력을 가지고 있다.
여러 연구에 따르면 다이오스민은 피부 진정 효과가 있을 뿐 아니라, 엘라스틴과 콜라겐을 분해하는 효소인 엘라스타제와 콜라게나제의 활성화를 억제하는 데 도움을 줘 피부 탄력을 유지하려는 제품에서 특히 가치 있는 성분으로 평가된다.
참고: 이 성분에는 두 가지 표기법(영문)이 있다. 화장품에서는 “Diosmine”, 과학 문헌에서는 ”Diosmin”이 기술적 명칭으로 사용된다.",,"Journal of Clinical and Aesthetic Dermatology, January 2024, pages 15-23
Molecules, November 2022, pages 1-10 and July 2022, pages 1-12
European Journal of Drug Metabolism and Pharmokinetics, October 2021, pages 1-18
Phytomedicine, January 2021, ePublication
Journal of Cosmetic Dermatology, October 2018, pages 848-856"
다이팔미토일하이드록시프롤린,Dipalmitoyl Hydroxyproline*,훌륭함,"수분 공급, 안티에이징",펩타이드,"다이팔미토일하이드록시프롤린은 콜라겐의 주요 아미노산인 하이드록시프롤린의 지용성 형태이다. 지용성의 형태는 피부와 입술에 더욱 잘 흡수되어 피부의 최상층에서부터 신호를 보내 피부의 지지 요소를 복구하여 눈에 띄는 잔주름과 주름을 줄여준다. 따라서 하이드록시프롤린은 본질적으로 시그널 펩타이드로 여겨진다.
다이팔미토일하이드록시프롤린은 오일이나 글라이콜과 함께 사용되었을 때 피부에 대한 친화력이 증진하기 때문에 가장 효과적으로 작동하게 된다. 이 성분은 피부의 콜라겐을 지원하는 동시에 매트릭스메탈로프로테이나아제로 알려진 콜라겐 분해 효소를 상쇄시킨다. 이러한 효소가 억제되지 않고 증식하게 된다면 콜라겐이 약화되어 입술은 처지고 얇아지게 된다.
다이팔미토일하이드록시프롤린의 권장 사용 수준은 0.1-2% 정도이며, 공급업체의 임상 연구에 따르면 0.5%의 농도로 사용 시 주름의 깊이를 개선한다고 나타났다.
다이팔미토일하이드록시프롤린의 팔미틱애씨드 성분은 피부에 사용하기에 안전하다고 간주되며, 마찬가지로 프롤린과 하이드록시프롤린 성분은 피부와 피부의 콜라겐에서 자연 발생하기 때문에 피부에 안전한 성분으로 여겨진다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","프롤린, 팔미틱애씨드, 펩타이드","International Journal of Toxicology, Volume 36, Supplement 3, November-December 2017, pages 51S-129S
International Journal of Cosmetic Science, April 2013, pages 156-162
The Journal of Clinical and Aesthetic Dermatology, March 2009, pages 38-43"
다이펩타이드-2,Dipeptide-2*,훌륭함,안티에이징,,"다이펩타이드-2는 합성의 작고 덜 복잡한 펩타이드로, 아미노산인 트립토판과 발린으로 구성된다.
한 성분 공급업체의 연구에 따르면 혼합물의 일부로서 이 펩타이드는 부은 눈을 가라앉혀준다고 주장하나, 현재로서 이러한 주장을 뒷받침해주는 독립적인 연구는 없다.
일반적으로 다이펩타이드-2는 피부 컨디셔닝제로 간주되며, 크기가 작아 피부의 최상층에 쉽게 흡수될 수 있어 피부의 재생 및 보충에 도움을 준다. 현재로서는 이러한 효능이 이 성분을 함유한 피부 관리 제품을 고려해볼만한 가장 강력한 이유로 작용한다.
단독 성분으로서 다이펩타이드-2의 권장 사용 수준은 정해지지 않았으나, 혼합물의 일부로 사용 시 원하는 결과에 따라 0.5-5%의 농도로 사용될 수 있다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","펩타이드, 아미노산","Cosmetics, November 2020, pages 1–14
Experimental and Therapeutic Medicine, August 2016, pages 1,1711,176
Bulletin of Experimental Biology and Medicine, May 2015, pages 164-167
Amino Acids, June 2012, pages 2,481–2,489; and April 2012, pages 1,379-1,386"
다이포타슘글리시리제이트,Dipotassium Glycyrrhizate*,훌륭함,진정,"식물추출물, 항산화제","다이포타슘글리시리제이트는 감초(_glycyrrhiza glabra_) 식물의 뿌리에서 추출한 글리시리직애씨드의 칼륨염으로, 피부를 진정시키는 효과가 있는 것으로 잘 알려져 있다. 다이포타슘글리시리제이트는 감초의 다른 부위와 마찬가지로 항산화 효과가 잘 입증된 성분이다. 위에서 언급했듯이 다이포타슘글리시리제이트는 산화 스트레스로 인한 노화 징후와 싸우는 능력과 함께 강력한 항염증 특성으로 잘 알려져 있다. 피부 자극을 진정시키고 붉은기를 진정시키는 스킨케어 제품에 자주 사용된다.
Cosmetic Ingredient Review(CIR) 위원회는 다이포타슘글리시리제이트가 화장품에 안전하게 사용할 수 있는 성분으로 평가했다. 원료는 엷은 노란색에서 흰색에 가까운 가루 형태이다.
한 가지 흥미로운 사실은 자연적으로 순한 단맛이 나는 다이포타슘글리시리제이트는 향미제로도 사용된다는 점이다. 화장품에서 다이포타슘글리시리제이트의 일반적인 사용 수준은 0.1~0.5%이지만, 일부 공급업체는 제품의 목표에 따라 최대 2%까지 권장한다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","스페인감초, 감초추출물, 다이포타슘글리시리지네이트","International Journal of Molecular Sciences, February 2023, pages 1–22
Acta Biomaterialia, April 2022, pages 203-215
International Journal of Toxicology, March 2007, pages 79-112
SpecialChem.com, Website, Accessed July 2024"
다이포타슘글리시리지네이트,Dipotassium Glycyrrhizinate,훌륭함,"진정, 다크스팟 개선","식물추출물, 항산화제",다이포타슘글리시리지네이트는 감초(licorice)의 구성 요소이다. 이 성분은 국소 적용시 진정 및 어두운 반점을 옅게 하는 특성이 있다.,"감초추출물, 피부 진정제, 다이포타슘글리시리제이트",
다이헵틸석시네이트,Diheptyl Succinate*,훌륭함,수분 공급,"질감향상제, 유연제(연화제)","다이헵틸석시네이트는 경량의 연화제이자 질감향상제로, 자연 발생하는 석시닉애씨드와 헵탄올이라 알려진 무색의 알코올에서 합성으로 생산된다. 이 성분은 때때로 화장품에서 실리콘을 대체하는 용도로 사용되기도 한다.
다이헵틸석시네이트의 매력적인 측면 중 하나는 지속 가능성(Sustainability)에서 나오며, 이 성분은 재생 가능성이 높고 생분해성(Biodegradable)이므로, 친환경(Green) 성분으로 간주된다.
The independent Cosmetic Component Review panel은 다이헵틸석시네이트가 화장품에 최대 5%의 농도로 사용되기에 안전하다고 간주한다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,"ACS Sustainable Chemistry & Engineering, July 2020, pages 12,409–12,418
https://www.cir-safety.org/sites/default/files/Caprylhydroxamic%20Acid_0.pdf
http://www.cosmeticsandtoiletries.com/formulating/function/feelenhancer/169326356.html"
달맞이꽃오일,Oenothera Biennis (Evening Primrose) Oil*,훌륭함,"수분 공급, 안티에이징, 진정","유연제(연화제), 식물추출물, 항산화제","달맞이꽃오일은 무향의 식물성 오일로, 이 오일의 지방산은 상당한 피부 진정 및 연화 효과를 준다. 또한 달맞이꽃오일은 다른 성분들이 피부에 더욱 쉽게 흡수될 수 있도록 도와준다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",달맞이꽃오일,"Journal of Pharmaceutical Sciences, January 2016, pages 188-193
Annals of Dermatology, December 2014, pages 706-712"
달맞이꽃오일,Evening Primrose Oil,훌륭함,"안티에이징, 수분 공급","유연제(연화제), 항산화제","달맞이꽃오일은 무향의 식물성 오일로, 이 오일에 함유된 지방산은 상당한 피부 진정 및 연화 효과를 준다. 또한 달맞이꽃오일은 다른 성분들이 피부에 더 쉽게 흡수될 수 있도록 도와준다.
달맞이꽃의 라틴명은 _Oenothera biennis_이다.",달맞이꽃오일,"Journal of Pharmaceutical Sciences, January 2016, pages 188-193
Annals of Dermatology, December 2014, pages 706-712"
달팽이점액여과물,Snail Secretion Filtrate*,훌륭함,안티에이징,"항산화제, 펩타이드","달팽이점액여과물(Snail Secretion Filtrate)은 흔히 snail mucin로 알려졌다. 달팽이점액여과물은 다양한 달팽이의 점액에서 여과된 성분이다. 달팽이의 발 부분에서 추출되며, 달팽이의 움직임을 돕고 표면에 잘 부착될 수 있게 도와주는 역할을 한다. 한국의 뷰티 제품에서 처음 사용되기 시작했지만, 현재 전세계적으로 많은 인기를 끌고 있는 스킨 케어 성분이다.
연구에 따르면 달팽이점액여과물을 국소적으로 바를 때 다양한 이점이 있는 것으로 나타났다. 달팽이 점액에는 엘라스틴, 콜라겐, 알란토인, 글라이콜릭애씨드, 항산화제 그리고 펩타이드 등 피부에 좋은 다양한 성분들이 포함되어 있다. 달팽이점액여과물이 다양한 노화 징후, 특히 자외선으로 인한 눈에 보이는 피부 손상을 완화하는데 도움이 된다는 연구 결과가 점점 더 많이 발표 되고 있다.
스킨 케어 제품에 달팽이점액여과물의 사용 수준은 2-5% 사이이다.
참고 사항: 달팽이 점액은 일종의 부산물과도 같으며, 추출 과정이 달팽이에게 전혀 위협적이지 않다. 하지만 동물에서부터 유래된 성분이기 때문에 비건 제품이 될 수 없다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,"SpecialChem, Accessed March 2023, Website
Cosmeceuticals, January 2022, ePublication
Sustainability, September 2022, page 2367
The Journal of Face Aesthetics, December 2020, ePublication
The Journal of Clinical and Aesthetic Dermatology, March 2020, pages 31–36
Journal of Drugs in Dermatology, April 2013, pages 453-457"
당근오일,Carrot Oil,훌륭함,"수분 공급, 안티에이징","유연제(연화제), 식물추출물, 항산화제","연화제로 사용되는 식물성 오일로, 다른 무향의 식물성 오일과 유사하다.",당근,
당아욱,Mallow,훌륭함,진정,"질감향상제, 식물추출물",화장품의 질감향상제로 사용할 수 있으며 피부 진정 효과가 있을 수 있다.,,Healthnotes Review of Complementary and Integrative Medicine
당호박,Cucurbita Pepo (Pumpkin)*,훌륭함,안티에이징,"식물추출물, 항산화제","당호박은 호박의 일종으로, 항산화제인 카로티노이드와 비타민 E의 아주 좋은 공급원이다. 또한 호박씨추출물과 호박씨오일은 리놀레익애씨드를 포함한 필수 지방산과 아연의 훌륭한 공급원이다. 화장품에서 볼 수 있는 우수한 무향의 식물성 추출물이다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","호박, 당호박씨추출물, 당호박씨추출물, 호박씨추출물","Journal of Food Science, June 2012, issue 6, pages C653-657
Natural Product Research, September 2011, pages 1524-1539"
당호박씨추출물,Cucurbita Pepo (Pumpkin) Seed Extract*,훌륭함,"안티에이징, 수분 공급","항산화제, 식물추출물, 보습제(습윤제)","당호박씨추출물은 호박의 일종에서 나오며, 항산화제인 카로티노이드와 비타민 E의 아주 좋은 공급원이다. 또한 호박씨추출물과 호박씨오일은 리놀레익애씨드를 포함한 필수 지방산과 아연의 훌륭한 공급원이다. 이 성분은 화장품에서 볼 수 있는 우수한 무향의 식물성 추출물이다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","호박씨추출물, 당호박씨추출물, 당호박, 호박","Journal of Food Science, June 2012, issue 6, pages C653-657
Natural Product Research, September 2011, pages 1524-1539"
당호박씨추출물,Cucurbita Pepo (Pumpkin) Seed Extract*,훌륭함,안티에이징,"식물추출물, 항산화제","당호박씨추출물은 스쿼시(squash, 호박) 일종에서 추출한 추출물로, 항산화제인 카로티노이드와 비타민 E의 아주 좋은 공급원이다. 또한 호박씨추출물과 호박씨오일은 리놀레익애씨드를 포함한 필수 지방산과 아연의 훌륭한 공급원이다. 이 성분은 화장품에 사용되 우수한 무향의 식물성 추출물이다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","호박씨추출물, 당호박씨추출물, 당호박, 호박","Journal of Food Science, June 2012, issue 6, pages C653-657
Natural Product Research, September 2011, pages 1524-1539"
데카르복시카르노신에이치씨엘,Decarboxy Carnosine HCL*,훌륭함,수분 공급,"보습제(습윤제), 펩타이드","데카르복시카르노신에이치씨엘은 체내에서 발견되는 천연 펩타이드를 모방하도록 설계된 생체모방(Biomimetic) 합성 펩타이드로, 카르시닌이라는 이름으로도 알려져 있다. 이 성분은 피부 관리 분야에서 환경적인 스트레스 요인이 피부에 미치는 부정적인 영향을 방어하는 데 도움을 주는 항산화제로 가장 잘 알려져 있다.
데카르복시카르노신에이치씨엘의 공급업체는 이 성분의 콜라겐 촉진 효능을 홍보하나, 이 내용을 검토하는 현시점에선 이 성분의 콜라겐 촉진 효능을 입증하는 상호 심사 논문이 불충분하다. 하지만 데카르복시카르노신에이치씨엘은 항당화(Antiglycation) 효과의 측면에선 유망해보인다. 참고로 당화반응(Glycation)은 피부의 콜라겐과 엘라스틴을 손상시키는 과정이므로, 이를 억제하는 건 이로운 현상이다.
데카르복시카르노신에이치씨엘은 카르노신의 유도체이므로, 이 성분은 카르노신과 동일한 다수의 노화 방지 효과를 제공한다고 여겨진다. 카르노신은 합성 펩타이드로, 신체에서 자연 발생하며 피부와 몸의 건강을 유지하는 역할을 한다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","카르노신, 펩타이드","Exsymol, Accessed January 2022, ePublication
BMJ Open, December 2020, pages 1-12
Oxidative Medicine and Cellular Longevity, September 2020, pages 1-15
Cosmetics, November 2018, pages 1-9"
도코사헥사에노익애씨드,Docosahexaenoic Acid*,훌륭함,,"유연제(연화제), 질감향상제","도코사헥사에노익애씨드는 오메가-3 지방산의 일종으로, 피부 관리 제품에서 연화제 및 질감향상제로 사용된다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,
독일가문비목부추출물,Picea Abies Wood Extract*,훌륭함,진정,"항산화제, 식물추출물","독일가문비목부추출물은 목재와 제재소 및 펄프와 같은 제조 산업의 부산물이기 때문에, 재활용될 수 있는 스킨 케어 성분이다. 특히 피부 진정 효과가 뛰어나다는 평가를 받고 있다.
연구에 따르면 독일가문비목부추출물은 노르웨이 가문비나무(Norway spruce) 또는 가문비나무(spruce)라고도 하며, 항산화 물질이 풍부하다. 이 성분이 눈에 보이는 변색을 줄이는 데 도움이 될 수 있다는 연구 결과도 있다. 이 성분에 대한 연구의 범위가 넓지 않으나 현존하는 존재하는 연구는 유망해 보인다. 프로필렌글라이콜과의 혼합물의 일부로 사용되는 농도는 1~5%이다. 이 식물 추출물은 열에도 안정적인 것으로 입증되어 자외선차단제에 좋은 첨가제가 된다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,"Journal of Agronomy, Technology and Engineering Management, June 2020, pages 437-447
Industrial Crops and Products, March 2020, ePublication
Molecules, November 2016, pages 1-15"
돌콩스테롤,Glycine Soja (Soybean) Sterols*,훌륭함,"수분 공급, 안티에이징","유연제(연화제), 식물추출물, 항산화제","돌콩스테롤은 돌콩에서 추출한 스테롤이며, 스테롤은 동물과 식물에서 유래한 고체의 복합성 알코올이다. 알코올에서 기원함에도 불구하고, 스테롤은 피부를 건조하게 만들지 않으며 오히려 피부에 윤활제 역할을 하고 연화성의 질감을 가진다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","피토스테롤, 콩추출물",
돌콩오일,Glycine Soja Oil*,훌륭함,"안티에이징, 수분 공급","항산화제, 식물추출물, 유연제(연화제)","돌콩오일은 대두오일(Soybean Oil)이라고도 불리는 무향의 식물성 오일로, 피부에 여러 용도로 사용할 수 있다. 모든 식물성 오일과 마찬가지로 피부를 부드럽게 하는 연화제 특성이 있으며 항산화제와 보충 지방산의 좋은 공급원이다.
연구에 따르면 콩에 함유된 화합물(대부분 아이소플라본)은 자외선 노출과 기타 원인으로 인한 고질적인 피부 변색을 개선하는 데 도움을 준다고 한다. 콩에 함유된 화합물은 멜라닌의 피부 표면으로의 과도한 이동을 줄여주어 과색소침착을 눈에 띄게 줄여준다.
돌콩오일의 항산화 성분에는 이소플라본으로 알려진 폴리페놀인 다이드제인과 제니스테인을 특별히 포함한다. 이 성분들은 자외선으로 인한 손상으로부터 피부를 보호하는 데 도움을 준다고 나타났다. 또한 콩에 함유된 항산화제는 수분 손실을 방지하여 피부의 수분을 유지하는 데에도 도움을 준다.
오일 형태의 콩은 지방산인 팔미틱애씨드, 스테아릭애씨드, 올레익애씨드 및 리놀레익애씨드가 혼합되어 있어 피부의 표면을 부드럽고 탄력있게 유지하는 데 도움을 줄 수 있다. 오일에 함유되어 있는 이러한 지방산과 자연적으로 존재하는 항산화제는 외부의 유해 자극에 대한 콩이 제공하는 진정 효과를 담당한다.","하이드로제네이티드돌콩오일, 제니스테인, 돌콩 추출물, 돌콩추출물","Phytotherapy Research, March 2020, pages 435-437
AAPS PharmSciTech, October 2018, pages 3,029-3,039
The Journal of Clinical and Aesthetic Dermatology, February 2018, pages 28-37
International Journal of Molecular Sciences, December 2017, ePublication
Molecules, Volume 22, September 2017, ePublication
Journal of Drugs in Dermatology, September 2013, pages s123-s127
Journal of Medicinal Food, January 2012, pages 89-95
International Journal of Dermatology, April 2011, pages 470-477"
